"","MODIFIED_ZCTA","NEIGHBORHOOD_NAME","BOROUGH_GROUP","lat","lon","POP_DENOMINATOR","COVID_CONFIRMED_CASE_COUNT","COVID_PROBABLE_CASE_COUNT","COVID_CASE_COUNT","COVID_CONFIRMED_CASE_RATE","COVID_CASE_RATE","PERCENT_POSITIVE","TOTAL_COVID_TESTS"
"122",11235,"Brighton Beach/Manhattan Beach/Sheepshead Bay","Brooklyn",40.583915,-73.949669,78197.62,20630,4650,25280,26381.88,32328.35,26.06,76514
"123",11236,"Canarsie","Brooklyn",40.640004,-73.901459,97117.19,19939,3120,23059,20530.86,23743.48,23.36,82461
"124",11237,"Bushwick/East Williamsburg","Brooklyn",40.704153,-73.920883,48000.58,10927,1796,12723,22764.31,26505.93,22.6,46594
"125",11238,"Clinton Hill/Prospect Heights","Brooklyn",40.679179,-73.963804,53548.62,9605,2133,11738,17936.97,21920.27,16.72,55985
"126",11239,"East New York","Brooklyn",40.64753,-73.882398,13022.3,4009,299,4308,30785.65,33081.71,29.02,13230
"127",11354,"Flushing/Murray Hill","Queens",40.76863,-73.827229,53918.85,10528,1967,12495,19525.64,23173.72,21.07,49600
"128",11355,"Flushing/Murray Hill/Queensboro Hill","Queens",40.751459,-73.821014,78852.89,17163,2798,19961,21765.85,25314.23,23.22,72199
"129",11356,"College Point","Queens",40.784867,-73.841495,22814.02,5603,1264,6867,24559.46,30099.92,23.79,22906
"130",11357,"Whitestone","Queens",40.78639,-73.810964,38714.77,8212,1718,9930,21211.54,25649.13,23.06,34690
"131",11358,"Auburndale/Murray Hill","Queens",40.760475,-73.79637,36024.61,6564,1705,8269,18220.88,22953.75,20.39,31266
"132",11360,"Bayside (North)","Queens",40.78205,-73.7808,19045.39,3107,702,3809,16313.66,19999.59,19.47,15558
"133",11361,"Bayside (North)/Bayside (South)","Queens",40.763748,-73.772419,26370.6,4612,1289,5901,17489.18,22377.2,19.68,23008
"134",11362,"Douglaston-Little Neck","Queens",40.756533,-73.736995,18101.72,2783,755,3538,15374.23,19545.11,18.98,14387
"135",11363,"Douglaston-Little Neck","Queens",40.772803,-73.746444,6735.31,975,286,1261,14475.94,18722.22,16.6,5746
"136",11364,"Bayside (South)/Oakland Gardens","Queens",40.745279,-73.760578,35688.29,5585,1186,6771,15649.39,18972.61,19.39,28092
"137",11365,"Auburndale/Fresh Meadows/Pomonok/Utopia","Queens",40.739775,-73.794806,43815.08,7884,2039,9923,17993.81,22647.46,20.91,36751
"138",11366,"Fresh Meadows/Hillcrest","Queens",40.728136,-73.784981,14208.14,2705,501,3206,19038.39,22564.53,22.11,11653
"139",11367,"Kew Gardens Hills/Pomonok","Queens",40.730383,-73.826297,40676.04,8406,2056,10462,20665.73,25720.3,22.28,36182
"140",11368,"Corona/North Corona","Queens",40.749594,-73.852604,110369.78,26735,3975,30710,24223.12,27824.65,23.33,111127
"141",11369,"Airport/East Elmhurst","Queens",40.768944,-73.872812,33627.74,10025,1558,11583,29811.69,34444.77,24.43,39603
"142",11370,"Jackson Heights/Rikers Island","Queens",40.763466,-73.891021,31777.34,7539,1473,9012,23724.46,28359.84,24.79,29436
"143",11372,"Jackson Heights","Queens",40.75169,-73.883634,60682.72,15566,2534,18100,25651.45,29827.27,22.78,65890
"144",11373,"Elmhurst","Queens",40.738823,-73.8785,91655.7,23905,3599,27504,26081.3,30007.95,24.1,96054
"145",11374,"Rego Park","Queens",40.726441,-73.861497,41393.74,10418,1495,11913,25168.06,28779.71,24.52,40787
"146",11375,"Forest Hills","Queens",40.720931,-73.846184,71266.52,13587,2101,15688,19065.05,22013.14,21,62655
"147",11377,"Woodside","Queens",40.744823,-73.90516,84048.11,21563,3523,25086,25655.54,29847.19,24.15,86730
"148",11378,"Maspeth","Queens",40.724768,-73.909399,36145.45,8268,1969,10237,22874.25,28321.68,24.72,32380
"149",11379,"Middle Village","Queens",40.716758,-73.879597,36636.49,8213,1722,9935,22417.54,27117.77,25.06,31941
"150",11385,"Glendale/Ridgewood","Queens",40.701058,-73.890159,103615.19,23861,3912,27773,23028.48,26803.99,25.93,88569
"151",11411,"Cambria Heights","Queens",40.694202,-73.735998,21378.1,4133,631,4764,19332.86,22284.48,23.83,16689
"152",11412,"St. Albans","Queens",40.698095,-73.758984,38097.58,8747,1311,10058,22959.46,26400.63,24.63,34058
"153",11413,"Laurelton/Rosedale","Queens",40.669738,-73.750842,43206.88,8893,1363,10256,20582.37,23736.96,24,35862
"154",11414,"Hamilton Beach/Howard Beach/Lindenwood","Queens",40.658266,-73.844905,28358.4,7011,1195,8206,24722.84,28936.76,29.29,22945
"155",11415,"Kew Gardens","Queens",40.708323,-73.828212,18873.03,4250,624,4874,22518.91,25825.21,23.51,17541
"156",11416,"Ozone Park","Queens",40.684652,-73.849549,26389.62,7154,928,8082,27109.14,30625.68,26.09,26534
"157",11417,"Ozone Park","Queens",40.676457,-73.844522,31041.34,7828,1493,9321,25217.99,30027.7,26.41,28535
"158",11418,"Richmond Hill","Queens",40.700236,-73.836062,37585.6,9212,1174,10386,24509.39,27632.92,25.89,34320
"159",11419,"Richmond Hill/South Ozone Park","Queens",40.688676,-73.822901,48504.92,11525,1708,13233,23760.48,27281.77,25.63,43720
"160",11420,"South Ozone Park","Queens",40.673518,-73.817812,47835.06,11263,1655,12918,23545.49,27005.3,25.53,42602
"161",11421,"Woodhaven","Queens",40.69405,-73.85867,40049.5,11405,1237,12642,28477.26,31565.94,28.83,38054
"162",11422,"Rosedale","Queens",40.660819,-73.73608,32389.06,6920,1114,8034,21365.24,24804.67,24.52,27224
"163",11423,"Hollis/Holliswood","Queens",40.71491,-73.767865,31138.4,7102,1199,8301,22807.85,26658.4,22.97,30092
"164",11426,"Bellerose","Queens",40.736521,-73.722384,20163.58,4059,756,4815,20130.35,23879.69,24.16,16269
"165",11427,"Bellerose/Hollis Hills/Holliswood","Queens",40.730915,-73.745611,23572.82,4986,878,5864,21151.47,24876.1,23.43,21289
"166",11428,"Queens Village","Queens",40.721015,-73.742206,18580.92,4328,862,5190,23292.71,27931.88,23.56,17732
"167",11429,"Queens Village","Queens",40.709772,-73.738731,32168.3,6260,1192,7452,19460.15,23165.67,23.04,26325
"168",11432,"Hillcrest/Jamaica Estates/Jamaica Hills","Queens",40.715359,-73.793064,60754.71,13532,2128,15660,22273.17,25775.78,22.12,59331
"169",11433,"Jamaica","Queens",40.69823,-73.787095,36521.92,8243,1433,9676,22570.01,26493.68,23.51,33895
"170",11434,"Airport/South Jamaica/Springfield Gardens/St. Albans","Queens",40.656866,-73.783386,66763.37,14043,2459,16502,21033.99,24717.15,22.85,60004
"171",11435,"Briarwood/Jamaica","Queens",40.701291,-73.809618,58415.04,12128,2555,14683,20761.78,25135.65,23.31,50509
"172",11436,"South Jamaica/South Ozone Park","Queens",40.675819,-73.796618,20042.54,4458,728,5186,22242.69,25874.96,23.9,18055
"173",11691,"Edgemere/Far Rockaway","Queens",40.60133,-73.761357,66856.31,17305,1657,18962,25883.87,28362.32,26.16,64746
"174",11692,"Arverne/Edgemere","Queens",40.592794,-73.792203,21029.13,4426,536,4962,21047,23595.84,23.97,18143
"175",11693,"Arverne/Broad Channel","Queens",40.603699,-73.821926,12672.14,2771,400,3171,21866.87,25023.4,26.57,9989
"176",11694,"Belle Harbor-Neponsit/Rockaway Park","Queens",40.577599,-73.844553,20779.4,4945,681,5626,23797.61,27074.89,26.95,17827
"177",11697,"Breezy Point","Queens",40.55907,-73.907199,3392.62,1264,170,1434,37257.38,42268.26,26.97,4371
