,Latitude,Longitude,Restaurant Name,Legal Business Name,Postcode,Food Service Establishment Permit #,Business Address,Landmark District or Building
7157,40.765736,-73.98732199999999,Westville Hell's Kitchen,Westville HK LLC,10019,50086015,"809  9th ave, Manhattan, NY",no
7158,40.72934,-73.989389,Spot Dessert Bar,SDB 3 LLC,10003,50032878,"5 St Marks Place, Manhattan, NY",no
7159,40.72039,-73.989379,Sauce Restaurant,Sauce Management LLC,10002,50056213,"78 Rivington Street, Manhattan, NY",no
7160,40.686857,-73.993748,Congress bar,Jim and Andy inc,11202,50004932,"208  Court street, Brooklyn, NY",yes
7161,,,Mel's Burger Bar and Koronet Pizza,"2850 Broadway Rest Associates, LLC",10025,41477315,"2848/2850 Broadway, Manhattan, NY",no
7162,,,Emily Bar Restaurant,Emily Bar Restaurant,11372,41664735,"3564 95ST Jackson Heights , Queens, NY",yes
7163,40.809387,-73.95365699999999,Clay,"Grafted Hospitality Group, LLC",10027,50059960,"553 Manhattan Avenue, Manhattan, NY",no
7164,40.655852,-74.002808,Minnie's Bar,885 sunset llc,11232,50088657,"885 4th avenue, Brooklyn, NY",no
7165,40.762153000000005,-73.770285,Bareburger,B10 LLC,11361,41667359,"42-38 Bell Blvd, Queens, NY",no
7166,40.748039,-73.879988,El Gran Coffee Shop,El Gran Coffee Shop,11372,50098085,"86-10  Roosevelt Ave., Queens, NY",no
7167,40.775441,-73.953532,Brady's Bar and Grill,Lough Duff Rest Inc.,10028,40368338,"1583 2nd Avenue, Manhattan, NY",no
7168,40.695957,-73.909848,BUSHWICK BURGER CORP,BUSHWICK BURGER CORP,11237,50106096,"354 CORNELIA STREET, Brooklyn, NY",no
7169,40.705507,-74.012396,El Toro Mexican Grill,Brooklyn Beef Inc.,10004,41771461,"69 New Street, Manhattan, NY",no
7170,40.803065000000004,-73.964107,Marlow Bistro,Madrel LLC,10025,50056274,"500 West  110th Street , Manhattan, NY",yes
7171,40.702259999999995,-73.92357700000001,264 suydam LLC,264 SUYDAM LLC,11237,50108967,"264 SUYDAM STREET, Brooklyn, NY",no
7172,40.691469,-73.82069200000001,nest restaurant,keds 1 corp,11419,50017455,"125-17 101 ave, Queens, NY",no
7173,40.715041,-73.958567,K TOP CHICKEN,K TOP CHICKEN INC,11211,50110738,"639 DRIGGS AVENUE, Brooklyn, NY",no
7174,40.692008,-73.863076,Geordies Joint,Geordies Joint,11421,50087728,"7919 Jamaica Avenue, Queens, NY",no
7175,40.736907,-73.986649,friend of a farmer,Friend of a Farmer,10003,40384340,"77 Irving Place, Manhattan, NY",no
7176,40.682424,-73.993391,THAISM,THAI GOLDEN HOUSE INC.,11231,50062660,"278 SMITH STREET, Brooklyn, NY",no
7177,40.561495,-73.920643,kennedy's Restaurant,Kennedy's of Breezy Point,11697,416021143,"406 Bayside, Queens, NY",no
7178,40.685128999999996,-73.83012,Lennys Cookhouse,Lennys West Indian Cookhouse LLC,11419,50101513,"11206  Liberty Avenue, Queens, NY",no
7179,40.728212,-73.990893,Gyu-kaku Japanese BBQ,Reins International NY INC,10003,41234821,"34 Cooper Square, Manhattan, NY",no
7180,,,EL DORADO RESTAURANT,MYRTLE DORADO RESTAURANT CORP,11385,50067198,"5455 MYRTLE , Queens, NY",no
7181,40.745653000000004,-74.005637,COOKSHOP,156 TENTH AVENUE RESTAURANT LLC,10011,41092609,"156  TENTH AVENUE, Manhattan, NY",no
7182,40.757769,-73.792803,WOORI SUSHI,WOORI SUSAN CORP,11358,16-17494,"188-15 NORTHERN BLVD, Queens, NY",no
7183,40.727292,-73.984551,Hanoi Soup Shop,Solid Liquids LLC,10009,50088423,"115 St. Marks Place, Manhattan, NY",no
7184,40.806653999999995,-73.961161,Arts and Crafts Beer Parlor,"ACBP SoHa, LLC",10025,50044876,"1135  Amsterdam Ave, Manhattan, NY",no
7185,40.743364,-73.874305,MI OTRA CASA  REST BAR,MI OTRA CASA REST BAR CORP,11373,50001961,"91-06 43RD AVE, Queens, NY",no
7186,40.72972,-74.004391,Spunto Thin Crust Pizza,"Spunto, Inc.",10014,41381168,"65 Carmine Street, Manhattan, NY",no
7187,40.64714,-74.008216,Xochil Pizza Corp,Xochil Pizza Corp,11220,50011100,"4632  5th Avenue , Brooklyn, NY",no
7188,40.732599,-74.002786,One if By Land Two if By Sea,One if By Land LLC.,10014,50038958,"17 Barrow, Manhattan, NY",yes
7189,40.742428000000004,-73.95630899999999,51st Bakery and Cafe,Stirling Hess Inc,11101,50004788,"5-33  51st Avenue, Queens, NY",no
7190,40.683209000000005,-73.932097,Mama Fox,Grand Jete LLC,11233,50073460,"327  Stuyvesant Ave, Brooklyn, NY",yes
7191,40.57216,-74.112943,Pizzeria giove,Giove's wood fires pizza,10307,41563707,"278 New dorp ln, Staten Island, NY",no
7192,40.752577,-73.987378,SWEETGREEN,SWEETGREEN NEW YORK LLC,10021,50071277,"1384 BROADWAY, Manhattan, NY",no
7193,40.708738000000004,-73.96091899999999,Out of Office Coffee,MOAD LLC,11211,000000000,"322 Roebling Street, Brooklyn, NY",no
7194,40.656625,-73.960095,EL CASTILLO DE JAGUA RAMIREZ CORP,EL CASTILLO DE JAGUA RAMIREZ CORP,11225,50046516,"679  FLATBUSH AVE., Brooklyn, NY",no
7195,40.722685,-73.995988,Rubirosa Pizza & Ristorante,Rubirosa Pizza & Ristorante LLC,10012,41532069,"235 Mulberry Street, Manhattan, NY",no
7196,40.716552,-73.743131,ahuachapan restaurant,ahuachapan corp,11428,41598043,"214-21  jamaica ave , Queens, NY",no
7197,40.828525,-73.87982099999999,SABBA'S CHICKEN,SABBA'S CHICKEN CORP,10472,50059886,"1504 WESTCHESTER AVENUE, Bronx, NY",yes
7198,40.755388,-73.927215,Veronica's Bar,3404 36 Ave Rest Inc,11106,41081705,"34-04  36th Ave, Queens, NY",no
7199,40.726403000000005,-73.95477199999999,Acre,25 BROADWAY BROOKLYN INC,11222,50103414,"64 MESEROLE AVENUE, Brooklyn, NY",no
7200,40.741667,-73.991963,Bite,Novel foods Inc.,10010,50046291,"62 West 22nd Street, Manhattan, NY",yes
7201,40.658961,-73.9816,WINDSOR TAVERN,"QUINTO1212, INC",11215,50111143,"256 PROSPECT PARK WEST, Brooklyn, NY",no
7202,40.747468,-73.885598,Pico De Gallo Restaurant,El Tecolote Corp,11372,50089515,"8009 Roosevelt Avenue, Queens, NY",no
7203,40.746077,-73.98209200000001,Gregorys Coffee,Park Coffee and Bakery LLC,10016,50012068,"2 Park Avenue, Manhattan, NY",no
7204,40.862790000000004,-73.906925,Fokkus Room & Cucine,138 West Fordham Rd Food Corp,10468,50081732,"136-138 West Fordham Rd , Bronx, NY",no
7205,40.866023999999996,-73.837717,3 JAK RESTAURANT CORP,3 JAK RESTAURANT CORP,10469,41316593,"1660   E GUN HILL RD, Bronx, NY",no
7206,40.701277000000005,-73.92671899999999,Leslie's Kitchen,L&R restaurant corp,11237,50072329,"109  wilson ave, Brooklyn, NY",no
7207,40.759011,-73.988514,Iron bar Hell's Kitchen,Times Square Retail llc,10036,5001977,"713 8th Avenue , Manhattan, NY",no
